Sequence,num_frames,MOTA,MOTP,IDF1,IDs,FM,Precision,Recall
M0801,298,83.2%,0.128,92.2%,0,2,85.8%,99.7%
M0403,514,79.7%,0.176,89.1%,14,108,87.9%,92.5%
M1303,445,72.4%,0.183,84.5%,8,129,87.5%,84.5%
M0205,646,66.7%,0.136,79.4%,26,29,78.4%,92.8%
M0802,1101,58.3%,0.184,69.3%,49,291,84.0%,72.2%
M0203,1000,54.2%,0.129,79.4%,4,20,70.6%,93.1%
M1009,604,54.4%,0.237,64.0%,21,311,97.2%,56.2%
M1001,1859,42.1%,0.214,75.1%,8,74,65.0%,91.3%
M0606,1374,41.7%,0.240,70.0%,26,514,68.2%,78.3%
M1301,1182,40.8%,0.223,55.6%,30,364,86.3%,48.6%
M0602,480,30.6%,0.314,48.3%,35,448,78.0%,43.0%
M1004,269,29.6%,0.247,48.0%,7,81,85.5%,35.8%
M1302,719,24.3%,0.210,36.5%,67,428,84.3%,30.2%
M1401,1050,18.0%,0.201,46.0%,52,224,62.7%,45.2%
OVERALL,11541,48.3%,0.202,67.4%,347,3023,79.1%,65.9%
