Sequence,num_frames,MOTA,MOTP,IDF1,IDs,FM,Precision,Recall
M0801,298,83.7%,0.136,92.5%,0,2,86.2%,99.7%
M0403,514,79.7%,0.178,88.5%,16,102,87.9%,92.4%
M1303,445,71.6%,0.190,84.4%,10,130,87.2%,83.9%
M0205,646,67.0%,0.141,77.4%,24,34,78.7%,92.6%
M0802,1101,58.2%,0.186,69.0%,47,287,84.0%,72.1%
M0203,998,60.6%,0.148,80.8%,6,20,74.4%,92.5%
M1009,604,54.5%,0.238,64.2%,22,317,97.6%,56.1%
M1001,1859,42.3%,0.214,75.0%,8,79,65.2%,91.1%
M0606,1374,43.8%,0.239,69.7%,37,490,69.7%,77.9%
M1301,1182,40.6%,0.228,55.5%,44,351,86.4%,48.4%
M0602,480,29.4%,0.314,41.8%,93,439,77.7%,42.0%
M1004,269,29.4%,0.248,48.0%,9,78,85.9%,35.3%
M1302,719,24.0%,0.216,35.7%,65,408,84.5%,29.8%
M1401,1050,17.6%,0.206,45.5%,48,222,62.5%,44.9%
OVERALL,11539,48.5%,0.205,66.7%,429,2959,79.5%,65.6%
